epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,558.245,2.21122,4.86416,1.56158,0.37653,0.02727,0.01616,0.0127,2.32514,5.15097,1.70359,1.024e-05,1.024e-05,1.024e-05
2,1136.17,1.8429,4.37652,1.35163,0.62583,0.03182,0.06186,0.05445,1.98185,4.80344,1.5917,2.18995e-05,2.18995e-05,2.18995e-05
3,1700.88,1.43451,3.7667,1.20222,0.76741,0.0493,0.06388,0.05083,1.79187,4.35752,1.47469,3.22918e-05,3.22918e-05,3.22918e-05
4,2204.47,1.14754,3.28554,1.09006,0.67144,0.1,0.13379,0.0885,1.61939,3.78028,1.30783,4.1417e-05,4.1417e-05,4.1417e-05
5,2841.26,1.05093,2.97365,1.05357,0.72178,0.12183,0.17869,0.12535,1.36096,3.20442,1.16099,4.92749e-05,4.92749e-05,4.92749e-05
6,3341.11,0.93024,2.6144,1.03658,0.70538,0.15723,0.21823,0.16046,1.19296,2.90918,1.10344,5.58656e-05,5.58656e-05,5.58656e-05
7,3839.96,0.92564,2.37627,0.99669,0.53929,0.32,0.29772,0.23454,0.97731,2.59845,1.00716,6.11891e-05,6.11891e-05,6.11891e-05
8,4483.66,0.91026,2.29849,1.01684,0.5911,0.31296,0.33994,0.26921,0.92086,2.53192,0.9724,6.52454e-05,6.52454e-05,6.52454e-05
9,4855.66,0.8412,1.94126,1.00598,0.44549,0.53726,0.39546,0.32606,0.86584,2.48363,0.95089,6.80346e-05,6.80346e-05,6.80346e-05
10,5271.07,0.88092,1.95733,0.97602,0.49246,0.53826,0.46663,0.40047,0.75844,2.21803,0.92809,6.95565e-05,6.95565e-05,6.95565e-05
11,5828.65,0.76632,1.98353,0.96966,0.58631,0.52212,0.50585,0.43744,0.70557,1.99601,0.92454,6.98112e-05,6.98112e-05,6.98112e-05
12,6308.05,0.75153,1.8226,0.95995,0.60463,0.56787,0.51915,0.45901,0.67375,1.76534,0.93069,6.87987e-05,6.87987e-05,6.87987e-05
13,7427.29,0.66867,1.7952,0.97571,0.58678,0.57522,0.53273,0.47686,0.65565,1.61734,0.92928,6.6519e-05,6.6519e-05,6.6519e-05
14,8805.64,0.70592,1.71762,0.94862,0.58678,0.57522,0.53273,0.47686,0.65565,1.61734,0.92928,6.29722e-05,6.29722e-05,6.29722e-05
15,9223.46,0.6956,1.64891,0.93624,0.53551,0.60386,0.56657,0.5065,0.63543,1.51455,0.92406,5.81581e-05,5.81581e-05,5.81581e-05
16,9701.19,0.65273,1.53976,0.92557,0.51155,0.63461,0.58464,0.52682,0.6038,1.42266,0.91815,5.20768e-05,5.20768e-05,5.20768e-05
17,10176.6,0.69788,1.54107,0.94463,0.52807,0.63118,0.59073,0.53815,0.58326,1.35126,0.91707,4.47283e-05,4.47283e-05,4.47283e-05
18,10652,0.6541,1.55205,0.93743,0.52807,0.63118,0.59073,0.53815,0.58326,1.35126,0.91707,3.61126e-05,3.61126e-05,3.61126e-05
19,11161.6,0.70732,1.57731,0.95093,0.4994,0.61677,0.59242,0.53799,0.56715,1.29893,0.9128,2.62298e-05,2.62298e-05,2.62298e-05
20,11664,0.67677,1.47922,0.96128,0.57469,0.5638,0.6027,0.54738,0.56337,1.26711,0.90993,1.50797e-05,1.50797e-05,1.50797e-05
